包含以下主要诊断:
Q87.300x902 CLOVES综合征
Q89.000 脾先天性畸形
Q89.001 多囊脾
Q89.003 先天性脾大
Q89.801 先天性淋巴管畸形
R04.000 鼻出血
R04.200 咯血
R10.402 腹痛
R91.x00x001 肺部阴影
S00.004 头皮血肿
U07.100x002 新型冠状病毒感染
Z03.800x701 可疑新生儿疾病的观察
Z03.800x711 可疑新生儿感染情况的观察
Z03.800x721 可疑新生儿神经病学的观察
Z03.800x731 可疑新生儿呼吸情况的观察
Z03.803 可疑新生儿红细胞增多症观察
Z38.000x001 在医院内出生的单胎活产婴儿
Z38.100x001 在医院外出生的单胎活产婴儿
Z38.200x001 未知出生地点的单胎活产婴儿
Z38.300x001 在医院内出生的双胎活产婴儿
Z38.400x001 在医院外出生的双胎活产婴儿
Z38.500x001 未知出生地点的双胎活产婴儿
Z38.600x001 在医院内出生的多胎活产婴儿
Z38.700x001 在医院外出生的多胎活产婴儿
Z38.800x001 未知出生地点的多胎活产婴儿
