包含以下主要诊断：
C49.401 季肋部结缔组织恶性肿瘤
C49.500 盆腔结缔组织和软组织恶性肿瘤
C49.500x001 骶前结缔组织恶性肿瘤
C49.501 臀部结缔组织恶性肿瘤
C49.502 腹股沟结缔组织恶性肿瘤
C49.504 骶结缔组织恶性肿瘤
C49.600 躯干结缔组织和软组织的恶性肿瘤
C49.601 背部结缔组织恶性肿瘤
C49.800 结缔组织和软组织交搭跨越恶性肿瘤的损害
C76.300x001 骶前恶性肿瘤
C76.300x009 骨盆恶性肿瘤
C76.400 上肢恶性肿瘤
C76.401 肩恶性肿瘤
C76.500 下肢恶性肿瘤
C76.501 髋恶性肿瘤
C76.502 腘窝恶性肿瘤
C79.500x001 骨继发恶性肿瘤
C79.500x006 椎体继发恶性肿瘤
C79.500x009 髂骨继发恶性肿瘤
C79.500x010 股骨继发恶性肿瘤
C79.500x011 关节继发恶性肿瘤
C79.500x012 桡骨继发恶性肿瘤
C79.500x013 胸骨继发恶性肿瘤
C79.500x021 肋骨继发恶性肿瘤
C79.500x022 锁骨继发恶性肿瘤
C79.500x024 盆骨继发恶性肿瘤
C79.500x025 骶骨继发恶性肿瘤
C79.500x026 尾骨继发恶性肿瘤
C79.500x030 颈椎继发恶性肿瘤
C79.500x031 胸椎继发恶性肿瘤
C79.500x032 腰椎继发恶性肿瘤
C79.506 躯干骨继发恶性肿瘤
C79.507 上肢骨继发恶性肿瘤
C79.508 下肢骨继发恶性肿瘤
C79.509 脊柱继发恶性肿瘤
C79.800x836 肌肉继发恶性肿瘤
C79.827 结缔组织继发恶性肿瘤
C85.900x027 肢体淋巴瘤
C85.900x029 骨淋巴瘤
C85.900x034 周围神经血管内淋巴瘤
D16.000x002 肩胛骨良性肿瘤
D16.001 上肢长骨良性肿瘤
D16.002 肱骨良性肿瘤
D16.003 桡骨良性肿瘤
D16.004 尺骨良性肿瘤
D16.100x005 上肢关节良性肿瘤
D16.200x005 膝关节良性肿瘤
D16.201 股骨良性肿瘤
D16.202 胫骨良性肿瘤
D16.203 腓骨良性肿瘤
D16.300x003 踝骨良性肿瘤
D16.300x004 距骨良性肿瘤
D16.300x005 跟骨良性肿瘤
D16.300x008 下肢关节良性肿瘤
D16.301 髌骨良性肿瘤
D16.302 跗骨良性肿瘤
D16.600x002 颈椎良性肿瘤
D16.600x003 胸椎良性肿瘤
D16.600x004 腰椎良性肿瘤
D16.600x005 椎骨良性肿瘤
D16.700x003 锁骨良性肿瘤
D16.701 胸骨良性肿瘤
D16.702 肋骨良性肿瘤
D16.800x001 耻骨良性肿瘤
D16.800x002 髂骨良性肿瘤
D16.800x006 髋骨良性肿瘤
D16.801 盆骨良性肿瘤
D16.802 骶骨良性肿瘤
D16.803 坐骨良性肿瘤
D16.804 尾骨良性肿瘤
D16.900x001 骨良性肿瘤
D16.900x002 关节软骨良性肿瘤
D16.900x003 软骨良性肿瘤
D18.000x025 脊柱血管瘤
D36.700x023 骶尾良性肿瘤
D48.000x001 骨交界性肿瘤
D48.000x028 髂骨交界性肿瘤
D48.006 锁骨动态未定肿瘤
D48.007 锁骨肿瘤
D48.008 胸骨动态未定肿瘤
D48.009 胸骨肿瘤
D48.010 肋骨动态未定肿瘤
D48.011 肋骨肿瘤
D48.012 脊柱动态未定肿瘤
D48.013 脊柱肿瘤
D48.014 盆骨动态未定肿瘤
D48.015 盆骨肿瘤
D48.016 骶骨动态未定肿瘤
D48.017 骶骨肿瘤
D48.018 上肢骨动态未定肿瘤
D48.019 上肢骨肿瘤
D48.020 下肢骨动态未定肿瘤
D48.021 下肢骨肿瘤
D48.022 关节动态未定肿瘤
D48.023 关节肿瘤
包含以下主要手术或操作：
00.8500x001 全髋关节表面置换术
00.8600x001 股骨头表面置换术
00.8700x001 髋臼表面置换术
77.6900x001 耻骨病损切除术
77.6900x004 骶骨病损切除术
77.6900x025 髂骨病损切除术
77.6900x032 胸椎病损切除术
77.6900x039 腰椎病损切除术
77.6900x055 颈椎病损切除术
77.6900x056 骶椎病损切除术
77.6900x057 髋臼病损切除术
77.6900x058 坐骨病损切除术
77.6901 骨盆病损切除术
77.6904 椎骨病损切除术
77.8502 髋臼部分切除术
77.8900x004 骨盆部分切除术
77.8900x017 髂骨部分切除术
77.9106 胸骨全部切除术
77.9900x003 骨盆切除术
77.9900x004 前入路胸椎椎体切除术
77.9901 坐骨全部切除术
77.9904 全椎体切除术
77.9905 骶骨全部切除术
78.0200x003 异体肱骨上段半关节移植术
78.0200x004 异体肱骨下段半关节移植术
78.0500x003 异体股骨上段半关节移植术
78.0500x004 异体股骨下段半关节移植术
78.0500x005 异体股骨头移植术
78.0500x006 异体股骨骨板移植术
78.0700x005 带血管蒂腓骨移植术
78.0700x007 异体胫骨上段半关节移植术
78.0700x008 异体胫骨下段半关节移植术
78.0900x025 异体半骨盆移植术
78.4106 胸骨缺损修补术
78.4900x007 骨盆重建术
78.5900x022 椎弓根钉内固定术
78.5900x027 骨盆钢板内固定术
78.5900x028 骨盆钢针内固定术
78.5900x029 骨盆螺钉内固定术
78.5900x030 骨盆髓内针内固定术
78.5901 骨盆内固定术
78.5904 椎骨内固定术
80.9901 椎体切除术伴椎间盘切除术
80.9902 椎体部分切除伴椎间盘切除术
80.9903 椎体次全切除伴椎间盘切除术
81.0100x001 前入路寰-枢椎融合术
81.0101 寰-枢椎融合术，经口
81.0102 寰-枢椎融合术，后入路
81.0103 枕-颈融合术，前入路
81.0104 枕-颈融合术，经口
81.0105 枕-颈融合术，后入路
81.0200x001 前入路颈椎融合术
81.0200x002 前外侧入路颈椎融合术
81.0300x001 后入路颈椎融合术
81.0300x002 后外侧入路颈椎融合术
81.0400x004 前外侧入路胸椎融合术
81.0400x005 前外侧入路胸腰椎融合术
81.0401 胸椎椎体间融合术，前入路
81.0402 胸腰椎椎体间融合术，前入路
81.0500x005 后外侧入路胸椎融合术
81.0500x006 后外侧入路胸腰椎融合术
81.0501 胸椎融合术，后入路
81.0502 胸腰椎融合术，后入路
81.0600x005 前外侧入路腰椎融合术
81.0600x006 前外侧入路腰骶椎融合术
81.0601 腰椎椎体间融合术，前入路
81.0602 腰骶椎椎体间融合术，前入路
81.0700x002 腰骶外侧横突融合术
81.0701 腰椎后柱融合术，后入路
81.0702 腰骶椎后柱融合术，后入路
81.0800x016 后外侧入路腰椎融合术
81.0800x017 后外侧入路腰骶椎融合术
81.0800x018 经椎间孔入路腰椎体融合术
81.0801 腰椎椎体间融合术，后入路
81.0802 腰骶椎椎体间融合术，后入路
81.1100 踝融合术
81.1101 胫距关节融合术
81.1200x001 足三关节融合术
81.1300x003 距下关节融合术
81.4001 髋臼成形术
81.5100 全髋关节置换
81.5200x004 人工双动股骨头置换术
81.5201 人工股骨头置换术
81.5202 人工髋臼置换术
81.5400 全部膝关节置换
81.5400x004 膝关节单髁表面置换术
81.5400x005 膝关节髌股表面置换术
81.5400x007 膝关节双间室置换术
81.5400x008 铰链式人工膝关节置换术
81.5401 部分膝关节置换术
81.5600 踝关节全部置换
81.8000 肩关节全部置换
81.8000x003 肩关节表面置换术
81.8100 肩关节部分置换
81.8101 人工肱骨头置换术
81.8400 肘关节全部置换
81.8400x002 人工桡骨头置换术
81.8401 肘关节部分置换术
81.8800 反向全肩关节置换术
84.5500x003 丙烯酸水泥骨空隙填充
84.5500x004 钙质骨空隙填充
84.5500x005 聚甲基丙烯酸甲酯骨空隙填充
84.5501 骨空隙骨水泥填充术
84.5600x001 水泥间隔物置入术
84.5601 关节腔隙骨水泥填充术
84.8205 经皮椎弓根钉内固定术
