入组条件：手术或操作 1 + 手术或操作 2（至少有一个是主要手术或操作）
52.2100x002 腹腔镜下胰腺病损微波消融术
52.2100x003 腹腔镜下胰腺病损冷冻消融术
52.2100x004 腹腔镜下胰腺病损纳米刀消融术
52.2101 腹腔镜下胰腺病损切除术
52.2201 胰腺病损切除术
52.2202 胰腺病损射频消融术
52.5300 根治性胰腺次全切除术
52.5901 胰腺部分切除术
52.5902 胰腺十二指肠部分切除术
52.5903 胰腺节段切除术
52.5905 腹腔镜胰腺部分切除术
52.5906 腹腔镜胰腺中段切除术
52.6x01 胰腺全部切除伴十二指肠切除术
52.7x00 根治性胰十二指肠切除术
52.7x00x003 胰腺根治性切除术
55.3100 肾病损袋形缝合术[造袋术]
55.3200x001 肾病损射频消融术
55.3400x001 腹腔镜下肾病损射频消融术
55.3400x002 腹腔镜下肾病损纳米刀消融术
55.3501 输尿管镜下肾病损消融术
55.3900x003 肾病损切除术
55.3900x004 腹腔镜下肾病损切除术
55.4x00 部分肾切除术
55.4x01 肾楔形切除术
55.4x02 肾盂部分切除术
55.4x03 腹腔镜下肾部分切除术
55.4x04 肾盂切除术
55.4x05 肾盏切除术
55.5100 肾输尿管切除术
55.5101 单侧肾切除术
55.5103 腹腔镜下单侧肾切除术
55.5104 腹腔镜下单侧肾输尿管切除术
55.5106 腹腔镜膀胱镜下肾输尿管切除术
55.5400 双侧肾切除术
55.5401 腹腔镜下双侧肾切除术
65.2200 卵巢楔形切除术
65.2400 腹腔镜卵巢楔形部分切除术
65.2500x003 腹腔镜下卵巢病损烧灼术
65.2501 腹腔镜卵巢病损切除术
65.2502 腹腔镜卵巢病损破坏术
65.2505 腹腔镜卵巢部分切除术
65.2900x001 卵巢病损烧灼术
65.2901 卵巢病损切除术
65.2902 卵巢病损破坏术
65.2903 经阴道卵巢病损切除术
65.2904 经阴道卵巢病损破坏术
65.2906 卵巢部分切除术
65.3100 腹腔镜单侧卵巢切除术
65.3900x001 单侧卵巢切除术
65.3900x002 经阴道单侧卵巢切除术
65.4100 腹腔镜单侧输卵管-卵巢切除术
65.4900x001 单侧输卵管-卵巢切除术
65.4901 经阴道单侧输卵管卵巢切除术
65.5100 双侧卵巢切除术
65.5100x003 经阴道双侧卵巢切除术
65.5300 腹腔镜双侧卵巢切除术
65.6100 双侧输卵管卵巢切除术
65.6101 经阴道双侧输卵管卵巢切除术
65.6300 腹腔镜双侧卵巢和输卵管切除术
65.6301 双侧输卵管卵巢切除术，经阴道+腹腔镜
67.4x00x002 子宫颈广泛性切除术
68.2900x035 子宫角部分切除术
68.2900x037 子宫角楔形切除术
68.2904 子宫病损破坏术
68.2905 子宫病损射频消融术
68.2906 子宫病损切除术
68.2911 腹腔镜子宫病损激光切除术
68.2912 腹腔镜子宫病损切除术
68.3100x002 筋膜内子宫切除术[CISH手术]
68.3101 标准子宫筋膜内子宫切除术
68.3102 腹腔镜子宫次全切除术
68.3103 腹腔镜子宫楔形切除术
68.3106 腹腔镜辅助子宫颈上子宫切除术
68.3900x003 子宫颈上子宫切除术
68.3901 子宫次全切除术
68.3902 子宫部分切除术
68.3903 子宫角切除术
68.3904 子宫楔形切除术
68.4100 腹腔镜经腹全子宫切除术
68.4101 腹腔镜经腹子宫扩大切除术
68.4102 腹腔镜经腹筋膜外子宫切除术
68.4103 腹腔镜经腹始基子宫切除术
68.4900x004 始基子宫切除术
68.4900x006 子宫次广泛切除术
68.4901 经腹全子宫切除术
68.4902 经腹筋膜外全子宫切除术
68.4903 经腹扩大性全子宫切除术
68.5100 腹腔镜辅助阴道子宫切除术(LAVH)
68.5100x004 腹腔镜辅助经阴道始基子宫切除术
68.5100x005 腹腔镜辅助经阴道子宫次全切除术
68.5101 腹腔镜辅助经阴道子宫扩大切除术
68.5102 腹腔镜辅助经阴道筋膜内子宫切除术
68.5103 腹腔镜辅助经阴道子宫部分切除术
68.5900x002 经阴道子宫次全切除术
68.5900x003 经阴道筋膜外全子宫切除术
68.5901 经阴道子宫切除术
68.5902 经阴道子宫部分切除术
68.6100x001 腹腔镜下子宫广泛性切除术
68.6100x002 腹腔镜下子宫改良广泛性切除术
68.6101 腹腔镜改良根治性子宫切除术
68.6900x001 子宫广泛性切除术
68.6900x002 子宫改良广泛性切除术
68.6901 子宫根治性切除术
68.6902 子宫改良根治性切除术
68.7100x001 腹腔镜辅助经阴道子宫广泛性切除术
68.7900x003 经阴道子宫广泛性切除术
68.7901 经阴道子宫根治性切除术
70.3300x003 阴道病损电切术
70.3301 阴道病损切除术
70.3302 阴道病损破坏术
70.4x01 阴道切除术
70.4x02 阴道部分切除术
70.4x05 腹腔镜辅助阴道切除术
