A34.x00	产科破伤风
O99.201	妊娠合并21-羟化酶缺乏症
O99.202	妊娠合并垂体侏儒
O99.203	妊娠合并代谢性酸中毒
O99.204	妊娠合并低蛋白血症
O99.205	妊娠合并低钾血症
O99.206	妊娠合并杜宾-约翰逊综合征
O99.207	妊娠合并肥胖症
O99.208	妊娠合并肝豆状核变性
O99.209	妊娠合并高胆红素血症
O99.213	妊娠合并饥饿性酮症
O99.214	妊娠合并甲状旁腺功能减退
O99.216	妊娠合并甲状腺功能亢进
O99.217	妊娠合并甲状腺功能障碍
O99.220	妊娠合并库欣综合征
O99.221	妊娠合并尿崩症
O99.222	妊娠合并肾上腺皮质功能减退
O99.223	妊娠合并肾上腺肿物
O99.224	妊娠合并先天性肾上腺皮质增生
O99.225	妊娠合并原发性醛固酮增多症
O99.300x012	妊娠合并神经系统疾病
O99.300x016	妊娠合并颅内动脉瘤
O99.300x021	分娩合并精神和行为障碍
O99.300x022	分娩合并神经系统疾病
O99.300x031	产褥期合并精神障碍
O99.300x032	产褥期神经系统疾病
O99.301	妊娠合并多发性脑神经疾病
O99.302	妊娠合并脑白质病
O99.303	妊娠合并脊髓病
O99.304	妊娠合并面神经麻痹
O99.305	妊娠合并面神经炎
O99.306	妊娠合并癫痫
O99.307	妊娠合并焦虑症
O99.308	妊娠合并截瘫
O99.309	妊娠合并脑瘫
O99.310	妊娠合并重症肌无力
O99.311	妊娠合并精神病
O99.312	妊娠合并精神障碍
O99.313	妊娠合并强迫症
O99.314	妊娠合并智力障碍
O99.315	妊娠合并多发性硬化
O99.400x004	妊娠合并肺动脉高压
O99.400x008	妊娠合并心力衰竭
O99.400x010	妊娠合并大动脉炎
O99.400x011	妊娠合并循环系统疾病
O99.400x021	分娩合并循环系统疾病
O99.400x022	妊娠合并交界性心动过速
O99.400x023	妊娠合并左心衰竭
O99.400x027	妊娠合并心房颤动（心房纤颤）
O99.400x030	妊娠合并心室肥厚
O99.400x031	妊娠合并感染性心包炎
O99.400x032	产褥期肺动脉高压
O99.400x033	妊娠合并急性心肌梗死
O99.400x034	产褥期循环系统疾病
O99.401	产褥期脑血管病
O99.402	产褥期心功能不全
O99.403	妊娠合并窦性心动过速
O99.404	妊娠合并二尖瓣关闭不全
O99.405	妊娠合并二尖瓣脱垂
O99.406	妊娠合并房性期前收缩
O99.407	妊娠合并频发室性期前收缩
O99.408	妊娠合并风湿性心脏病
O99.409	妊娠合并冠状动脉供血不足
O99.410	妊娠合并室上性心动过速
O99.411	妊娠合并室性心动过速
O99.412	妊娠合并室性期前收缩
O99.413	妊娠合并心包积液
O99.414	妊娠合并心功能不全
O99.415	妊娠合并心肌病
O99.416	妊娠合并心肌炎后遗症
O99.418	妊娠合并心律失常
O99.419	妊娠合并心血管病
O99.420	妊娠合并心脏病
O99.421	妊娠合并心脏扩大
O99.422	妊娠合并右束支传导阻滞
O99.423	妊娠合并预激综合征
O99.424	妊娠合并左束支传导阻滞
O99.425	妊娠合并风湿性关节炎
O99.426	妊娠合并肾下腔静脉压迫
O99.427	妊娠合并血栓形成
O99.428	妊娠合并原发性肺动脉高压
O99.429	妊娠合并颈动脉狭窄
O99.430	妊娠合并脑出血
O99.431	妊娠合并脑梗死
O99.432	妊娠合并脑血管病
O99.433	妊娠合并烟雾病
O99.434	妊娠合并子宫动静脉瘘
O99.500x008	产后并发急性肺水肿
O99.500x011	妊娠合并呼吸系统疾病
O99.500x021	分娩合并呼吸系统疾病
O99.500x031	产褥期呼吸系统疾病
O99.501	妊娠合并慢性气管炎
O99.502	妊娠合并支气管扩张
O99.503	妊娠合并支气管炎
O99.504	妊娠期合并支气管哮喘
O99.505	妊娠合并肺不张
O99.506	妊娠合并肺部感染
O99.507	妊娠合并肺水肿
O99.508	妊娠合并过敏性哮喘
O99.509	妊娠合并呼吸衰竭
O99.510	妊娠合并上呼吸道感染
O99.511	妊娠合并胸水
O99.512	妊娠合并急性呼吸窘迫综合征
O99.600x001	妊娠合并急性阑尾炎
O99.600x011	妊娠合并消化系统疾病
O99.600x012	妊娠合并胃痉挛
O99.600x014	妊娠合并牙髓炎
O99.600x016	产褥期肠梗阻
O99.600x017	产褥期不完全性肠梗阻
O99.600x018	妊娠合并非感染性腹泻
O99.600x021	分娩合并消化系统疾病
