AA19	心肺移植
HL13	肝胆胰系统的治疗性操作,伴合并症或并发症
HL15	肝胆胰系统的治疗性操作,不伴合并症或并发症
HL23	肝胆胰系统的诊断性操作,伴合并症或并发症
HL25	肝胆胰系统的诊断性操作,不伴合并症或并发症
HR13	肝胆胰系统恶性肿瘤,伴合并症或并发症
HR15	肝胆胰系统恶性肿瘤,不伴合并症或并发症
HS11	肝功能衰竭,伴严重合并症或并发症
HS13	肝功能衰竭,伴一般合并症或并发症
HS15	肝功能衰竭,不伴合并症或并发症
HS23	肝硬化,伴合并症或并发症
HS25	肝硬化,不伴合并症或并发症
HS39	病毒性肝炎
HS3H	病毒性肝炎,大于等于70岁
HT11	重症胰腺炎,伴严重合并症或并发症
HT13	重症胰腺炎,伴一般合并症或并发症
HT15	重症胰腺炎,不伴合并症或并发症
HT23	急性胰腺炎,伴合并症或并发症
HT25	急性胰腺炎,不伴合并症或并发症
HT2G	急性胰腺炎,不伴合并症或并发症,大于等于70岁
HU13	急性胆道疾病,伴合并症或并发症
HU15	急性胆道疾病,不伴合并症或并发症
HZ13	其他肝脏疾病,伴合并症或并发症
HZ15	其他肝脏疾病,不伴合并症或并发症
HZ23	胆道其他疾病,伴合并症或并发症
HZ25	胆道其他疾病,不伴合并症或并发症
HZ33	胰腺其他疾病,伴合并症或并发症
HZ35	胰腺其他疾病,不伴合并症或并发症
IA19	骨与软组织肿瘤相关重建手术
IA23	其他骨与软组织肿瘤手术,伴合并症或并发症
IA25	其他骨与软组织肿瘤手术,不伴合并症或并发症
IB19	复杂脊柱疾病或3节段及以上脊柱融合手术或翻修手术
IB29	脊柱2节段及以下脊柱融合术
IB39	与脊柱有关的经皮可视手术
IB40	与脊柱有关的其他手术,机器人辅助手术
IB49	与脊柱有关的其他手术
IC19	髋、肩、膝、肘和踝关节假体翻修／修正手术
IC29	多部位髋、肩、膝、肘和踝关节置换术
IC30	其他髋、肩、膝、肘和踝关节置换术,机器人辅助手术
IC39	其他髋、肩、膝、肘和踝关节置换术
IC49	除置换／翻修外的髋、肩、膝、肘、踝和足部关节的修复、重建手术
IC59	除置换／翻修外的髋、肩、膝、肘、踝和足部关节其他手术
ID19	骨盆及下肢手术伴滤器置入
IE19	骨盆髋臼手术
IE20	股骨手术,机器人辅助手术
IE21	股骨手术,伴严重合并症或并发症
IE25	股骨手术,不伴严重合并症或并发症
IE33	除股骨以外的下肢骨手术,伴合并症或并发症
IE35	除股骨以外的下肢骨手术,不伴合并症或并发症
IE49	小关节手术
IE59	上肢骨手术
IE5H	上肢骨手术,大于等于70岁
IE69	指／趾再植手术
IE79	其他手外科手术
IF19	骨科固定装置去除／修正术
IG13	周围神经手术,伴合并症或并发症
IG15	周围神经手术,不伴合并症或并发症
IH19	肌肉、肌腱手术
IJ13	骨骼肌肉系统的其他手术,伴合并症或并发症
IJ15	骨骼肌肉系统的其他手术,不伴合并症或并发症
IN13	骨骼肌肉系统早期康复治疗,伴合并症或并发症
IN15	骨骼肌肉系统早期康复治疗,不伴合并症或并发症
IR13	骨盆骨折,伴合并症或并发症
IR15	骨盆骨折,不伴合并症或并发症
IR1F	骨盆骨折,伴合并症或并发症,大于等于70岁
IR21	股骨骨折,伴严重合并症或并发症
IR23	股骨骨折,伴一般合并症或并发症
IR25	股骨骨折,不伴合并症或并发症
IS19	前臂、腕、手或足损伤
IS29	除前臂、腕、手足外的损伤
IT19	骨髓炎
IT29	系统性风湿免疫病伴重要器官损害
IT33	系统性风湿免疫病,伴合并症或并发症
IT35	系统性风湿免疫病,不伴合并症或并发症
IT3G	系统性风湿免疫病,不伴合并症或并发症,大于等于70岁
IT49	非感染性炎症性骨骼肌肉疾病
IT53	感染性关节炎,伴合并症或并发症
IT55	感染性关节炎,不伴合并症或并发症
IU19	骨病及其他关节病
IU29	颈腰背疾病
IU33	骨骼、肌肉、结缔组织恶性病损、病理性骨折,伴合并症或并发症
IU35	骨骼、肌肉、结缔组织恶性病损、病理性骨折,不伴合并症或并发症
IV19	除脊柱外先天性骨骼肌肉系统疾病
IZ13	肌肉骨骼系统植入物／假体的康复照护,伴合并症或并发症
IZ15	肌肉骨骼系统植入物／假体的康复照护,不伴合并症或并发症
IZ1F	肌肉骨骼系统植入物／假体的康复照护,伴合并症或并发症,大于等于70岁
IZ23	骨骼、肌肉、肌腱、结缔组织的其他疾病,伴合并症或并发症
IZ25	骨骼、肌肉、肌腱、结缔组织的其他疾病,不伴合并症或并发症
JA19	乳房恶性肿瘤根治性切除伴乳房重建术
JA29	乳房恶性肿瘤根治性切除术
JB19	乳房成形手术
JB29	乳腺切除手术
JB2H	乳腺切除手术,大于等于70岁
JB39	其他乳房手术
JC19	颜面及其他皮肤、皮下组织成形术
JD13	皮肤移植手术,伴合并症或并发症
JD15	皮肤移植手术,不伴合并症或并发症
JD1G	皮肤移植手术,不伴合并症或并发症,大于等于70岁
JD23	皮肤清创手术,伴合并症或并发症
JD25	皮肤清创手术,不伴合并症或并发症
JD2G	皮肤清创手术,不伴合并症或并发症,大于等于70岁
JJ19	皮肤、皮下组织的其他手术
JJ1D	皮肤、皮下组织的其他手术,小于等于6岁
JR19	乳房恶性肿瘤
JR29	皮肤、皮下组织的恶性肿瘤
JS13	重大皮肤疾病,伴合并症或并发症
JS15	重大皮肤疾病,不伴合并症或并发症
JS1F	重大皮肤疾病,伴合并症或并发症,大于等于70岁
JS1G	重大皮肤疾病,不伴合并症或并发症,大于等于70岁
JS29	自身免疫性疱病
JS39	重症药疹
JS49	炎症性皮肤病
JT19	乳房、皮肤、皮下组织创伤
JU13	感染性皮肤病,伴合并症或并发症
JU15	感染性皮肤病,不伴合并症或并发症
JU1G	感染性皮肤病,不伴合并症或并发症,大于等于70岁
JV19	皮肤、皮下组织的非恶性增生性病变
JV29	乳房良性病变
JZ13	其他皮肤及乳腺疾病,伴合并症或并发症
JZ15	其他皮肤及乳腺疾病,不伴合并症或并发症
JZ1F	其他皮肤及乳腺疾病,伴合并症或并发症,大于等于70岁
JZ1G	其他皮肤及乳腺疾病,不伴合并症或并发症,大于等于70岁
KB19	肾上腺手术
KC19	垂体手术
KD19	甲状腺、甲状旁腺大手术
KD29	甲状旁腺、甲状舌管及甲状腺其他手术
KE19	减重手术
KF19	因内分泌、营养、代谢疾病的截肢手术
KJ11	因内分泌、营养、代谢疾病的其他手术,伴严重合并症或并发症
KJ13	因内分泌、营养、代谢疾病的其他手术,伴一般合并症或并发症
KJ15	因内分泌、营养、代谢疾病的其他手术,不伴合并症或并发症
KR19	内分泌腺体肿瘤
KS11	糖尿病合并急性并发症,伴严重合并症或并发症
KS15	糖尿病合并急性并发症,不伴严重合并症或并发症
KS23	糖尿病性血管病变,伴合并症或并发症
KS25	糖尿病性血管病变,不伴合并症或并发症
KS39	糖尿病合并其他并发症
KT19	内分泌、营养、代谢疾病
KU11	营养失调,伴严重合并症或并发症
KU13	营养失调,伴一般合并症或并发症
KU15	营养失调,不伴合并症或并发症
KV13	先天性代谢异常,伴合并症或并发症
KV15	先天性代谢异常,不伴合并症或并发症
KV1F	先天性代谢异常,伴合并症或并发症,大于等于70岁
KZ13	其他代谢疾病,伴合并症或并发症
KZ15	其他代谢疾病,不伴合并症或并发症
LA19	膀胱根治性切除术
LA20	肾脏大手术,机器人辅助手术
LA29	肾脏大手术
LB19	肾脏结石手术
LB29	肾脏其他手术
LC19	输尿管手术
LD19	膀胱其他手术
LE19	尿道手术
LF11	肾透析相关手术,伴严重合并症或并发症
LF15	肾透析相关手术,不伴严重合并症或并发症
LJ13	泌尿系统其他手术,伴合并症或并发症
LJ15	泌尿系统其他手术,不伴合并症或并发症
LJ1F	泌尿系统其他手术,伴合并症或并发症,大于等于70岁
LJ1G	泌尿系统其他手术,不伴合并症或并发症,大于等于70岁
LL11	肾透析,伴严重合并症或并发症
LL13	肾透析,伴一般合并症或并发症
LL15	肾透析,不伴合并症或并发症
LL1E	肾透析,伴严重合并症或并发症,大于等于70岁
LL1F	肾透析,伴一般合并症或并发症,大于等于70岁
LR11	肾功能不全,伴严重合并症或并发症
LR15	肾功能不全,不伴严重合并症或并发症
LS13	重症肾炎及肾病,伴合并症或并发症
LS15	重症肾炎及肾病,不伴合并症或并发症
LS23	肾炎及肾病,伴合并症或并发症
LS25	肾炎及肾病,不伴合并症或并发症
LT13	肾及尿路肿瘤,伴合并症或并发症
LT15	肾及尿路肿瘤,不伴合并症或并发症
LU13	肾及尿路感染,伴合并症或并发症
LU15	肾及尿路感染,不伴合并症或并发症
LU1F	肾及尿路感染,伴合并症或并发症,大于等于70岁
LU1G	肾及尿路感染,不伴合并症或并发症,大于等于70岁
LV19	代谢性肾病
LW19	肾、尿路体征及症状
LX13	尿路结石、阻塞及尿道狭窄,伴合并症或并发症
LX15	尿路结石、阻塞及尿道狭窄,不伴合并症或并发症
LX1G	尿路结石、阻塞及尿道狭窄,不伴合并症或并发症,大于等于70岁
LZ13	肾及泌尿系统其他疾病,伴合并症或并发症
LZ15	肾及泌尿系统其他疾病,不伴合并症或并发症
MB10	前列腺大手术,机器人辅助手术
MB19	前列腺大手术
MB29	前列腺手术
MC19	阴茎手术
MC1D	阴茎手术,小于等于6岁
MD19	睾丸手术
