AA19	心肺移植
DF2_9	鼻腔、鼻窦手术，其他
DG10	咽、喉、气管手术，年龄小于18岁
DG1_29.3	咽、喉、气管手术，咽病损或组织的切除术或破坏术
DG1_30.2	咽、喉、气管手术，其他部分喉切除术
DG1_31.6	咽、喉、气管手术，喉修补术
DG1_31.7	咽、喉、气管手术，气管修补术和整形术
DG1_29	咽、喉、气管手术，咽部手术
DG1_30	咽、喉、气管手术，喉切除术
DG1_9	咽、喉、气管手术，其他
DG2_28.9	扁桃体和/或腺样体切除手术，扁桃体和腺样增殖体的其他手术
DG2_28	扁桃体和/或腺样体切除手术，扁桃腺和腺样增殖体的手术
DH19	颅面骨正颌手术
DH29	颅面骨创伤手术
DH3_76	颞下颌关节手术，面骨和关节手术
DH3_9	颞下颌关节手术，其他
DH4_76.2	颅面骨其他手术，面骨病损的局部切除术或破坏术
DH4_76.3	颅面骨其他手术，面骨部分骨切除术
DH4_76.4	颅面骨其他手术，面骨切除术和重建术
DH4_76	颅面骨其他手术，面骨和关节手术
DH4_9	颅面骨其他手术，其他
DJ10	头、颈、耳、鼻、咽、口其他手术，年龄小于18岁
DJ1_04.0	头、颈、耳、鼻、咽、口其他手术，颅和周围神经切开术、切断术和切除术
DJ1_24.3	头、颈、耳、鼻、咽、口其他手术，牙龈其他手术
DJ1_26.2	头、颈、耳、鼻、咽、口其他手术，涎腺病损切除术
DJ1_26.3	头、颈、耳、鼻、咽、口其他手术，涎腺切除术
DJ1_27.9	头、颈、耳、鼻、咽、口其他手术，口和面的其他手术
DJ1_40.2	头、颈、耳、鼻、咽、口其他手术，淋巴结构的单纯性切除术
DJ1_86.3	头、颈、耳、鼻、咽、口其他手术，皮肤和皮下组织的病损或组织其他局部切除术或破坏术
DJ1_86.8	头、颈、耳、鼻、咽、口其他手术，皮肤和皮下组织的其他修补术和重建术
DJ1_25	头、颈、耳、鼻、咽、口其他手术，舌手术
DJ1_9	头、颈、耳、鼻、咽、口其他手术，其他
